,sentence
967,Mm .
968,Nice .
969,Very nice .
970,yeah .
971,Yes .
972,Yeah .
973,Yeah .
974,No .
975,No .
976,Mm .
977,Mm .
978,No .
979,Really ?
980,Yes .
981,Oh yeah .
982,Yeah .
983,Yeah .
984,One each .
985,Mm .
986,corner there
987,Goodness .
988,Yes
989,A shop .
990,Yeah .
991,I know .
992,Well .
993,nice kitchen .
994,Yeah .
995,Right .
996,Thank you .
997,Yeah .
998,Very nice .
999,Very nice .
1000,Mm .
1001,Yeah .
1002,No .
1003,No .
1004,I crashed
1005,Oh no .
1006,Very nice .
1007,Mm .
1008,Mm .
1009,Yeah .
1010,Mm .
1011,Cos
1012,quite easily .
1013,Lovely .
1014,Thank you .
1015,Oh yeah .
1016,Yes .
1017,Right .
1018,Did he ?
1019,Yeah .
1020,Tt .
1021,Oh Gordon !
1022,No .
1023,Well it 's
1024,Well
1025,Eh ?
1026,yeah .
1027,Yes .
1028,Who must ?
1029,John Smith .
1030,industry
1031,I know .
1032,They do .
1033,Back down .
1034,They do .
1035,Yeah .
1036,Well
1037,No .
1038,No .
1039,Course not .
1040,Now John Smith
1041,No .
1042,With statements .
1043,Mm .
1044,Mm .
1045,No .
1046,Mm .
1047,Oh !
1048,Mm .
1049,Mm .
1050,Tt .
1051,Aye .
1052,Mm .
1053,Mm .
1054,Mm .
1055,very
1056,Not fully .
1057,You know .
1058,Thirty four !
1059,I know !
1060,No .
1061,It is .
1062,Yes .
1063,Oh no !
1064,Oh no !
1065,No .
1066,Did he ?
1067,Yes .
1068,Yeah ?
1069,Yes !
1070,No .
1071,No .
1072,Yeah .
1073,Yes .
1074,Mm !
1075,Never .
1076,No .
1077,No .
1078,No !
1079,Oh yes .
1080,Were we ?
1081,Yes .
1082,Mm .
1083,Yes .
1084,Yes .
1085,Yes .
1086,Yes .
1087,So
1088,Yes .
1089,Yes .
1090,I did .
1091,Yes .
1092,Mm .
1093,Oh yes .
1094,Two years ?
1095,Yeah .
1096,Yeah .
1097,Yeah .
1098,Yeah .
1099,Blimey !
1100,Yes .
1101,Mm mm .
1102,Yes .
1103,Yes .
1104,No .
1105,happening then .
1106,No .
1107,Yeah .
1108,Yeah .
1109,Oh yes .
1110,Yeah .
1111,Mm .
1112,Mm .
1113,Mm .
1114,Mm .
1115,I know .
1116,No .
1117,No .
1118,I know !
1119,I know .
1120,Yeah .
1121,Yeah !
1122,Yeah !
1123,Good God !
1124,Good God !
1125,And er
1126,Goodness me !
1127,No .
1128,Mm .
1129,And he
1130,I mean
1131,No .
1132,Well
1133,Oh .
1134,youngish .
1135,Yes .
1136,I know .
1137,I know .
1138,Yeah .
1139,Mm .
1140,Mm .
1141,Yeah .
1142,Mm .
1143,Aye .
1144,Yes .
1145,Yes .
1146,Yes .
1147,Go home .
1148,Yes .
1149,Yes .
1150,Yeah .
1151,Mm .
1152,Yes .
1153,Mm .
1154,No .
1155,Mm mm .
1156,Oh God !
1157,Yeah .
1158,Phworgh !
1159,Yeah .
1160,Did he ?
1161,Did he ?
1162,Yes !
1163,Mm .
1164,Has he ?
1165,You mm .
1166,Yes .
1167,Yeah .
1168,Aye .
1169,Mm .
1170,Terrible !
1171,Did you ?
1172,No .
1173,Mm .
1174,Mhm .
1175,Yeah .
1176,Mm .
1177,I know .
1178,Yes .
1179,Mm .
1180,Yes .
1181,Yes .
1182,Yeah .
1183,I know .
1184,I wonder
1185,you know
1186,Mm .
1187,Somebody 's .
1188,Pardon ?
1189,Did you ?
1190,Yes .
1191,Mm .
1192,You were saying
1193,Just trying to
1194,Six ?
1195,Yeah .
1196,Seven fifty .
1197,No .
1198,Yeah .
1199,Mm .
1200,in er
1201,Oh yeah .
1202,Yeah .
1203,Oh right .
1204,Two weeks .
1205,"Yeah , well"
1206,Erm
1207,Bloody .
1208,It was
1209,cleaner
1210,Okay .
1211,Glasses .
1212,No .
1213,Mm .
1214,Ten
1215,Yeah .
1216,What ?
1217,drinking .
1218,Mm !
1219,Oh !
1220,Oh !
1221,The little pratt
1222,Obnoxious
1223,dickhead !
1224,Yeah .
1225,Yes .
1226,Yeah .
1227,Yep .
1228,Oh yeah
1229,Mm .
1230,Security guard .
1231,Just !
1232,Oh yeah .
1233,Yeah .
1234,whereas er
1235,I know .
1236,money ?
1237,No !
1238,I put them
1239,Ah .
1240,Sorry !
1241,What are ?
1242,Oh !
1243,Tonight ?
1244,Yeah .
1245,Five bottoms .
1246,Yeah .
1247,Yeah .
1248,Mm !
1249,Where ?
1250,The Empire ?
1251,Yeah .
1252,No .
1253,fingers up .
1254,No !
1255,University
1256,Oh !
1257,Yeah .
1258,Mhm .
1259,Yeah .
1260,Mm .
1261,Oh !
1262,Mm .
1263,No .
1264,No .
1265,Yeah .
1266,No !
1267,Er yeah .
1268,Is it ?
1269,Yeah .
1270,that
1271,Mm .
1272,Yeah .
1273,Yeah .
1274,So er
1275,Well yeah .
1276,Yeah .
1277,quite nice .
1278,Yeah .
1279,Oh yeah .
1280,Mind you
1281,They
1282,Yeah .
1283,Mm .
1284,Mm .
1285,", yeah ."
1286,Mm .
1287,And left .
1288,I know .
1289,No .
1290,Mm .
1291,Oh !
1292,Kelly 's !
1293,Christ !
1294,Mm .
1295,Mm .
1296,Yeah .
1297,Yeah .
1298,Yeah .
1299,Yeah .
1300,Anyway
1301,Mm .
1302,True .
1303,Oh yeah .
1304,Yeah .
1305,Tt .
1306,Oh !
1307,Ah !
1308,So I said
1309,Yeah .
1310,Oh bugger !
1311,Mm .
1312,No .
1313,When ?
1314,Well we did
1315,Yeah the
1316,normal news .
1317,Salford Keys .
1318,Yeah .
1319,Yeah .
1320,All the
1321,Erm
1322,Yeah .
1323,Yep !
1324,Yep !
1325,I agree .
1326,Yeah .
1327,Yeah .
1328,Oh
1329,Typically .
1330,Yeah .
1331,Yeah .
1332,west mysteriously .
1333,Yeah .
1334,Derby
1335,And hopefully
1336,Yeah .
1337,Eh ?
1338,No ?
1339,Pardon ?
1340,Yeah ?
1341,Yeah .
1342,Have you ?
1343,Milk ?
1344,Love him .
1345,O K.
1346,Eh ?
1347,Oh !
1348,Never mind .
1349,Bad news .
1350,Why ?
1351,Oh dear .
1352,at all .
1353,accounts department .
1354,Aha .
1355,Not pleasant .
1356,Are you ?
1357,No .
1358,No ?
1359,Oh right .
1360,You have .
1361,Naughty girl .
1362,Bonk .
1363,Go away .
1364,Does she ?
1365,No ?
1366,Water please .
1367,How soon ?
1368,Yeah .
1369,Probably not .
1370,What ?
1371,You hungry ?
1372,Miss ?
1373,Mm .
1374,Mm .
1375,Pardon ?
1376,Pardon ?
1377,Chose what ?
1378,The cake !
1379,Erm ?
1380,Mhm
1381,Oh yeah .
1382,Aisle ?
1383,All morning .
1384,And erm
1385,Exciting .
1386,We are .
1387,Absolutely .
1388,Me .
1389,We .
1390,Why not ?
1391,Is she ?
1392,Alright ?
1393,pig .
1394,pig .
1395,What ?
1396,Good girl .
1397,trampoline now .
1398,Or
1399,No .
1400,No ?
1401,No
1402,Swansea .
1403,Oh right .
1404,What ?
1405,Oh dear .
1406,Yeah .
1407,Mm .
1408,Come on .
1409,Yeah .
1410,See you later
1411,Polo .
1412,Aha .
1413,Off we go
1414,Bye .
1415,Never mind .
1416,Pardon ?
1417,a man .
1418,No .
1419,No .
1420,You do .
1421,Mm .
1422,Grandma .
1423,Pardon ?
1424,A train .
1425,Pardon ?
1426,Grandma and
1427,Granddad .
1428,Granddad .
1429,What love ?
1430,Not what ?
1431,Pardon ?
1432,Pardon ?
1433,Pardon ?
1434,In here .
1435,What ?
1436,Oh yes .
1437,Oh .
1438,Alright .
1439,Yeah .
1440,Yes .
1441,"Yes , ."
1442,Yes .
1443,Alright .
1444,Oh .
1445,Pardon ?
1446,No .
1447,Yeah .
1448,Yeah .
1449,Twelve pounds .
1450,Girl again .
1451,another go
1452,Yeah .
1453,Oh dear .
1454,Charlotte .
1455,No .
1456,Mm .
1457,cat food .
1458,Meow .
1459,Meow .
1460,Mum .
1461,Mm ?
1462,What ?
1463,And then two
1464,Right .
1465,Er
1466,Right .
1467,Is fifteen .
1468,And then
1469,And sixes
1470,Sixes six
1471,Right .
1472,sixes .
1473,Okay ?
1474,Erm this .
1475,Mm .
1476,Yeah .
1477,Four
1478,Twenty !
1479,Alright .
1480,Yeah .
1481,One .
1482,Right .
1483,Okay ?
1484,Not equations !
1485,Right ?
1486,Oh !
1487,Yeah .
1488,Yeah .
1489,me ?
1490,Right .
1491,Two multiplication
1492,Yeah .
1493,Right .
1494,One .
1495,Six .
1496,Have you got
1497,Three .
1498,six times three
1499,Six .
1500,Yeah ?
1501,one yet .
1502,It 's fours
1503,Yeah .
1504,It
1505,Alright .
1506,Oh !
1507,four .
1508,No !
1509,Nines .
1510,Twenty seven .
1511,Right .
1512,Six nines are
1513,Seven
1514,Sixty three .
1515,Yeah .
1516,Yeah .
1517,Yeah .
1518,I know !
1519,No !
1520,Int it ?
1521,No !
1522,Hey ?
1523,Right .
1524,I know .
1525,Good afternoon .
1526,Yes certainly .
1527,Yeah .
1528,yeah .
1529,Yeah .
1530,Oh .
1531,Er
1532,There 's
1533,Mm .
1534,Yeah .
1535,Mm .
1536,Okay .
1537,Yes please .
1538,Thank you .
1539,Erm
1540,Mm .
1541,Yeah .
1542,And .
1543,You turn right
1544,Please yes .
1545,Thank you .
1546,Sorry .
1547,Thank you .
1548,Thank you .
1549,Right okay .
1550,Erm
1551,From Manchester .
1552,Been
1553,Oh whereabouts ?
1554,Stockport .
1555,Yeah .
1556,Mm .
1557,Road or ?
1558,Yeah .
1559,I know .
1560,Good gracious .
1561,Mm ?
1562,Here .
1563,.
1564,Yes .
1565,Yes .
1566,Mm .
1567,Precisely .
1568,Yeah .
1569,No .
1570,In .
1571,No but what
1572,Mollyrange .
1573,Yeah .
1574,Oh no !
1575,No .
1576,Oh yeah .
1577,Mm .
1578,Well we
1579,Disturbing .
1580,Mm .
1581,Mm .
1582,Oh yeah .
1583,Mm .
1584,Very good .
1585,Mm .
1586,Very good
1587,And er
1588,Yeah .
1589,Yes .
1590,Yes .
1591,Yes .
1592,I know .
1593,Yes .
1594,a sunny day
1595,Yeah .
1596,Yeah yeah .
1597,Yeah .
1598,You know .
1599,Mm .
1600,Mm mm .
1601,Yeah .
1602,Seriously .
1603,Seriously .
1604,Mm .
1605,Mm .
1606,Mm .
1607,Mm .
1608,Mm .
1609,Mm .
1610,Mm .
1611,Yeah .
1612,Oh well
1613,Oh seriously .
1614,Yes .
1615,Yes .
1616,Right .
1617,Mhm .
1618,Magic .
1619,Good gracious .
1620,Mm .
1621,Mm .
1622,I thought
1623,Yes .
1624,Bubye .
1625,Bubye .
1626,Bubye .
1627,Mm .
1628,Round
1629,Have you ?
1630,Mm .
1631,Thank you .
1632,Erm
1633,Oh
1634,Yeah .
1635,Mm .
1636,Mm .
1637,Yes .
1638,Bit too much
1639,Yeah .
1640,Yeah yeah .
1641,Oh yeah ?
1642,Yeah ?
1643,Mm .
1644,Indeed yes .
1645,Exactly .
1646,Mm .
1647,Oh !
1648,Yes exactly .
1649,Mm .
1650,Think .
1651,Yes .
1652,She might .
1653,Erm
1654,Yeah .
1655,Mm .
1656,No .
1657,Mm .
1658,It 's
1659,Mm .
1660,Mm .
1661,Yes .
1662,Marvellous .
1663,Good gracious .
1664,Erm
1665,Erm erm
1666,Yes .
1667,Yes .
1668,Yeah .
1669,Thank you .
1670,Yeah .
1671,Mm .
1672,?
1673,Oh .
1674,Ooh .
1675,Yeah .
1676,Sorry ?
1677,Mm .
1678,Yeah .
1679,Mm .
1680,Oh yeah .
1681,Mm .
1682,Really ?
1683,Mm .
1684,Mm .
1685,Erm I could
1686,No sorry .
1687,Mhm .
1688,Yes .
1689,Yeah .
1690,Yeah .
1691,Well yes .
1692,Yes indeed .
1693,Thank you .
1694,Aha .
1695,Mm .
1696,Right .
1697,Yeah .
1698,oh !
1699,Goodbye .
1700,Bubye .
1701,No bus ?
1702,Mummy .
1703,Mm ?
1704,From
1705,Yes .
1706,after erm
1707,Yes .
1708,They are .
1709,Oh where ?
1710,Oh yeah .
1711,Where ?
1712,There look .
1713,Mm .
1714,Mm .
1715,March winds .
1716,Where ?
1717,Where ?
1718,Mm .
1719,It is .
1720,No .
1721,I remember
1722,Mm .
1723,Right .
1724,Thank you .
1725,Ah .
1726,Mum .
1727,marmite .
1728,Mm .
1729,Very posh .
1730,Candles .
1731,Oh good .
1732,You did .
1733,Mm .
1734,I know .
1735,Inspector Morse .
1736,I know .
1737,No .
1738,Mm .
1739,Stratford ?
1740,Do they ?
1741,Omelette .
1742,An omelette ?
1743,Oh .
1744,Pardon ?
1745,Skinlid .
