;Source Domain;Target Domain;Title;Metaphor;Example
17;body of water;problem;A Problem Is A Body Of Water;Solving Is Finding Object In Water;Finally the answer surfaced.
18;body of water;problem;A Problem Is A Body Of Water;The Solution Is An Object In Water;The answer's just floating around out there.
19;container;problem, solving;A Problem Is A Locked Container For Its Solution;The Solution Is Contained In The Problem;We have to look deeply into this problem for its solution.
20;container;problem, solving;A Problem Is A Locked Container For Its Solution;Solving A Problem Involves Opening An Object;The detective set out to crack the case.
21;container;problem, solving;A Problem Is A Locked Container For Its Solution;Solving A Problem Involves Opening An Object;I'm going to break this case wide open.
22;container;problem, solving;A Problem Is A Locked Container For Its Solution;Means To Solving Is Means To Opening;He finally found the key to the problem.
23;container;problem, solving;A Problem Is A Locked Container For Its Solution;Difficulty Is Hardness Of Object;That's a hard problem.
24;container;problem, solving;A Problem Is A Locked Container For Its Solution;Difficulty Is Hardness Of Object;I found his explanation impenetrable.
25;container;problem, solving;A Problem Is A Locked Container For Its Solution;Discovered Solution Is Removed From Container;The truth finally came out.
26;container;problem, solving;A Problem Is A Locked Container For Its Solution;Discovered Solution Is Removed From Container;The truth emerged.
27;location;problem;A Problem Is A Region In A Landscape;Investigating A Problem Is Exploring A Landscape;We've got to explore this problem.
28;location;problem;A Problem Is A Region In A Landscape;Investigating A Problem Is Exploring A Landscape;We've got to survey the problem.
29;location;problem;A Problem Is A Region In A Landscape;Investigating A Problem Is Exploring A Landscape;Let's map out the problem before we do anything else.
30;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;I think we're headed in the right direction.
31;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;How close are we to finding a solution?
32;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;The solution still lies far ahead.
33;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;We aren't getting any nearer to an answer.
34;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;Let's not leave any stone unturned.
35;location;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Let's follow this line of thinking.
36;location;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Are we all thinking along the same lines.
37;location;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Don't go off on tangents.
38;location;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Let's get our thinking back on track.
39;location;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Are we all going in the same direction?
40;location;problem;A Problem Is A Region In A Landscape;Evidence Is A Guide In The Search;The evidence all points in the same direction.
41;location;problem;A Problem Is A Region In A Landscape;Evidence Is A Guide In The Search;This evidence doesn't tell us where to start.
42;location;problem;A Problem Is A Region In A Landscape;Evidence Is A Guide In The Search;The evidence led us straight to the killer.
43;location;problem;A Problem Is A Region In A Landscape;Failing To Solve Is Failing To Locate Object In Landscape;We're going around in circles.
44;location;problem;A Problem Is A Region In A Landscape;Failing To Solve Is Failing To Locate Object In Landscape;The answer could be right in front of us, we're just not seeing it.
54;moving object, mover;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;He was behind (the) schedule.
55;moving object, mover;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;He finally caught up to schedule.
56;moving object, mover;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;Then he got ahead of schedule.
57;moving object, mover;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;The class was trying to keep up with the schedule.
58;;;Abilities Are Entities Inside A Person;Abilities Are Entities Inside A Person;He doesn't have it in him to be polite to his in
59;;;Abilities Are Entities Inside A Person;Abilities Are Entities Inside A Person;He lacks internal/intestinal fortitude.
60;;;Abilities Are Entities Inside A Person;Abilities Are Entities Inside A Person;He has a great capacity for learning.
61;;;Acting Compulsively Is Ingesting A Substance Compulsively;Compulsive Behavior Is An Addictive Substance;addicted to gambling
62;;;Acting Compulsively Is Ingesting A Substance Compulsively;Compulsive Behavior Is An Addictive Substance;work-aholic
63;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;He could really dole out punishment.
64;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;I couldn't take that kind of treatment any more!
65;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;What kind of treatment have these plants been receiving?
66;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;What have you been doing TO him?
67;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;I gave his a taste of his own medicine.
68;;Harm;Acting On Is Transferring An Object;Acting On Is Transferring An Object;I couldn't stomach that kind of treatment any longer.
69;;Longterm Action ;Action Is Control Over Possessions;Action Is Control Over Possessions;Take action.
70;;Longterm Action ;Action Is Control Over Possessions;Rights Are Abilities To Possess;Our rights guarantee certain freedoms.
71;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;He exercised to the point of exhaustion.
72;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;She squeezed her way to thinner thighs.
73;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;He drank himself out of the promotion.
74;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;He went on with what he was doing.
75;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;She went back to sleep.
76;motion, moving, path;action, acting;Action Is Self-propelled Motion;Action Is Self-propelled Motion;She sucessfully navigated her way through the contract negotiations.
77;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;We slogged through the application process.
78;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;He is out of step with the other students.
79;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;Slowly and steadily, she worked herself into the grave.
80;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;Never looking back, he went on with the project.
81;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;When I'm around her I feel like I am walking on eggshells.
82;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;He is treading on thin ice.
83;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;He is walking a fine line between asserting his independenceand insulting the boss.
84;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;He quickly took himself from rags to riches.
85;motion, moving, path;action, acting;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;She slowly ate her way to obesity.
86;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Stage In An Action Is A Location Along A Path;We made it past the point where my legs usually get tired.
87;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Stage In An Action Is A Location Along A Path;I am at that part of the application process that I really hate.
88;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Stage In An Action Is A Location Along A Path;We are coming to that step where you beat the butter until smooth.
89;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Stage In An Action Is A Location Along A Path;We are in between stages
90;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Stage In An Action Is A Location Along A Path;She has sung her way through the anthem to the point where the really high note is.
91;motion, moving, path;action, acting;Action Is Self-propelled Motion;Final States Are Final Locations;I ended up exhausted.
92;motion, moving, path;action, acting;Action Is Self-propelled Motion;Final States Are Final Locations;He's headed for an early death.
93;motion, moving, path;action, acting;Action Is Self-propelled Motion;Final States Are Final Locations;His reckless investments are taking him into backruptcy.
94;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Change Resulting From Action Is Lack Of Motion;He ate and ate but he didn't go tubby on us.
95;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Change Resulting From Action Is Lack Of Motion;She wrote, but never got to the point that she realized how bad it was.
96;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Forward Movement;Let's forge ahead
97;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Forward Movement;Let's keep moving forward on this experiment.
98;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Forward Movement;He hadn't made much headway in writing the termpaper.
99;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Forward Movement;I'm afraid I haven't gotten very far in grading the exams.
100;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;She finally reached the end of the dissertation-writing process.
101;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;After working on the application for days, I finally saw the light at the end of the tunnel.
102;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;We only have a short ways to go on solving this puzzle.
103;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;I'm almost through reading this book.
104;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;I've been working on this experiment for years, and the end is still a long ways off.
105;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;We've come a long way in our efforts to realize fusion.
106;motion, moving, path;action, acting;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;We've made it this far in our efforts to solve the problem.
107;motion, moving, path;action, acting;Action Is Self-propelled Motion;Speed Of Progress Is Speed Of Motion To A Destination;He flew through his work.
108;motion, moving, path;action, acting;Action Is Self-propelled Motion;Speed Of Progress Is Speed Of Motion To A Destination;He went through some of the tasks on the exam too quickly.
109;motion, moving, path;action, acting;Action Is Self-propelled Motion;Speed Of Progress Is Speed Of Motion To A Destination;She is moving ahead by leaps and bounds on that project.
110;motion, moving, path;action, acting;Action Is Self-propelled Motion;Speed Of Progress Is Speed Of Motion To A Destination;I am moving at a snail's pace on grading these exams.
111;motion, moving, path;action, acting;Action Is Self-propelled Motion;Speed Of Progress Is Speed Of Motion To A Destination;He's moving quickly to close the deal.
112;motion, moving, path;action, acting;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;I'd hate to see us back where we were thirty years ago, beforecivil rights had made the strides forward that we have seen.
113;motion, moving, path;action, acting;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;When the computer ate her work, she found herself back at the beginning of the writing process again.
114;motion, moving, path;action, acting;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;We need to backtrack on this problem
115;motion, moving, path;action, acting;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;I keep grading papers, but I still keep falling behind.
116;motion, moving, path;action, acting;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;I keep exercising, but I keep getting farther and farther frommy target weight.
117;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He is just floating around.
118;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He is drifting aimlessly.
119;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He needs some direction.
120;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He is a drifter with no direction.
121;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Progress Toward The Destination Is Lack Of Motion;I got stuck half-way through grading the exams.
122;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Progress Toward The Destination Is Lack Of Motion;He is at a standstill in the dissertation-writing process.
123;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Progress Toward The Destination Is Lack Of Motion;We aren't getting any place by arguing.
124;motion, moving, path;action, acting;Action Is Self-propelled Motion;Lack Of Progress Toward The Destination Is Lack Of Motion;Making excuses is getting me nowhere.
125;motion, moving, path;action, acting;Action Is Self-propelled Motion;Easy Action Is Easy Motion;It is smooth sailing from here on in in the application process.
126;motion, moving, path;action, acting;Action Is Self-propelled Motion;Easy Action Is Easy Motion;It's all downhill for the rest of the course.
127;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Different Means Of Achieving The Purpose Is A Different Path;To be cool, you have to wear your overalls this way.
128;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Different Means Of Achieving The Purpose Is A Different Path;She solved the problem a different way.
129;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Different Means Of Achieving The Purpose Is A Different Path;Do it any way you can.
130;motion, moving, path;action, acting;Action Is Self-propelled Motion;A Different Means Of Achieving The Purpose Is A Different Path;However you want to go about repairing it is fine with me.
131;motion, moving, path;action, acting;Action Is Self-propelled Motion;Efficient Purposeful Action Is Direct Motion To A Destination;He has gotten sidetracked on that problem.
132;motion, moving, path;action, acting;Action Is Self-propelled Motion;Efficient Purposeful Action Is Direct Motion To A Destination;She made a beeline for the presidency.
133;motion, moving, path;action, acting;Action Is Self-propelled Motion;Starting A Purposeful Action Is Starting Out For A Destination;Apply for admission
134;motion, moving, path;action, acting;Action Is Self-propelled Motion;Starting A Purposeful Action Is Starting Out For A Destination;We are at the first step in the educational process.
135;motion, moving, path;action, acting;Action Is Self-propelled Motion;Starting A Purposeful Action Is Starting Out For A Destination;We are in the first stages of filing for bankruptcy.
136;motion, moving, path;action, acting;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;We are reaching the end of the house-buying process.
137;motion, moving, path;action, acting;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;Finally, all my educational goals are in reach.
138;motion, moving, path;action, acting;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;We are entering the last stages of filing for bankrupcy.
139;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;He pushed me into doing it.
140;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She leaned on him to do it.
141;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She pushed me through the steps in the application process.
142;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;I need someone to help me through this problem.
143;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She leads him around by the nose.
144;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She held him back in his endeavors.
145;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She is being pushed into a corner by the ultimatum.
146;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;Her boss doesn't give her any slack.
147;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She has her secretary on a tight rein.
148;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;She has her fiance on a short leash.
149;motion, moving, path;action, acting;Action Is Self-propelled Motion;Control Over Action Is Control Over Motion.;He is tied to his mother's apron strings.
150;motion, moving, path;action, acting;Action Is Self-propelled Motion;Guided Action Is Guided Motion;She guided him through the problem.
151;motion, moving, path;action, acting;Action Is Self-propelled Motion;Guided Action Is Guided Motion;She walked him through the analysis.
152;motion, moving, path;action, acting;Action Is Self-propelled Motion;Guided Action Is Guided Motion;She led him through the rough parts of the course.
153;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We hit a roadblock when we tried to repeat the experiment.
154;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We are at an impasse in this project.
155;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;I've hit a brick wall in my analysis.
156;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We are going upstream
157;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We are fighting an uphill battle
158;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;It's a steep road ahead for equal rights advocates.
159;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We have to get over/around this problem.
160;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;We faced many hurdles in taking on this problem.
161;motion, moving, path;action, acting;Action Is Self-propelled Motion;Obstacles To Action Are Obstacles To Motion;When the going gets tough, the tough get going.
162;motion, moving, path;action, acting;Action Is Self-propelled Motion;Continuing To Act Despite Difficulty, Is Moving Despite Obstacles;I made it through/over the rough spots in writing the paper.
163;motion, moving, path;action, acting;Action Is Self-propelled Motion;Continuing To Act Despite Difficulty, Is Moving Despite Obstacles;I made it around the rough part of the analysis.
164;motion, moving, path;action, acting;Action Is Self-propelled Motion;Continuing To Act Despite Difficulty, Is Moving Despite Obstacles;I made it through college.
165;motion, moving, path;action, acting;Action Is Self-propelled Motion;Continuing To Act Despite Difficulty, Is Moving Despite Obstacles;I got through that step in the recipe OK.
166;motion, moving, path;action, acting;Action Is Self-propelled Motion;Continuing To Act Despite Difficulty, Is Moving Despite Obstacles;She is just going through the motions of applying for a loan.
167;motion, moving, path;action, acting;Action Is Self-propelled Motion;Aids To Action Are Aids To Motion;My Dad made the way smooth for all of us.
168;motion, moving, path;action, acting;Action Is Self-propelled Motion;Caused Inability To Act Is Prevention Of Motion;Regulations keep me from moving ahead with this housing project.
169;motion, moving, path;action, acting;Action Is Self-propelled Motion;Caused Inability To Act Is Prevention Of Motion;Sudden illness stopped his progress.
170;motion, moving, path;action, acting;Action Is Self-propelled Motion;Caused Inability To Act Is Prevention Of Motion;He's really gotten hung up at that step in the process.
171;motion, moving, path;action, acting;Action Is Self-propelled Motion;Caused Inability To Act Is Prevention Of Motion;He is so caught up in his work he can't do anything else.
172;motion, moving, path;action, acting;Action Is Self-propelled Motion;Caused Inability To Act Is Prevention Of Motion;He was held up in the meeting.
173;motion, moving, path;action, acting;Action Is Self-propelled Motion;Self-motivated Action Is Self-propelled Motion;She has a lot of get up and go.
174;motion, moving, path;action, acting;Action Is Self-propelled Motion;Self-motivated Action Is Self-propelled Motion;She always pushed herself.
175;motion, moving, path;action, acting;Action Is Self-propelled Motion;Self-motivated Action Is Self-propelled Motion;She can really get herself going.
176;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I have a right TO do that.
177;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;There are no moral or legal roadblocks.
178;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Looking down the road, I don't see any problems.
179;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I can't see any way to do that.
180;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I can't see my way clear to giving you a raise.
181;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Looking back, I can see that we could have done it better.
182;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I can't see where I'm headed on this problem.
183;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I can see the light at the end of the tunnel.
184;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;That coat pulled me into the store.
185;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;The smell of the cookies dragged me against my will to the cookie jar.
186;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;What obligations have you gotten yourself into?
187;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Can you get out of doing the dishes?
188;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;I can't get out of it, I'm locked into it.
189;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;"Try to get out of those committments; don't let your boss box you in."
190;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;"There's no way out; I have to do it."
191;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;He trapped her into going with her.
192;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Do you know what you're getting into?
193;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Have they entered into an agreement yet?
194;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;He couldn't get out of his agreement.
195;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;He can be coaxed into an agreement.
196;motion, moving, path;action, acting;Action Is Self-propelled Motion;Rights To Act Are Rights Of Way;Is there an excape hatch in this agreement?
197;;Action (Location);Active Is Alive;Active Is Alive;The party was really alive
198;;Action (Location);Active Is Alive;Active Is Alive;The club seems dead tonight
199;;Action (Location);Active Is Alive;Active Is Alive;Lively, liven (lexical examples)
200;warmth, heat;affection;Affection Is Warmth;Affection Is Warmth;She's a warm person.
201;warmth, heat;affection;Affection Is Warmth;Affection Is Warmth;They gave me a warm welcome.
202;warmth, heat;affection;Affection Is Warmth;Affection Is Warmth;He took a while to warm up to me.
203;warmth, heat;affection;Affection Is Warmth;Affection Is Warmth;My love for her still smolders (she's an old flame)
204;warmth, heat;affection;Affection Is Warmth;Dislike Is Cold;She was decidedly cool.
205;warmth, heat;affection;Affection Is Warmth;Dislike Is Cold;He gave me the cold shoulder.
206;warmth, heat;affection;Affection Is Warmth;Dislike Is Cold;He's a real cold fish.
207;heat;anger;Anger Is Heat;Anger Is Heat;She's a real hothead.
208;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;You make my blood boil.
209;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;Let her stew.
210;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;She got all steamed up.
211;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He's just blowing off steam.
212;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He erupted.
213;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He boiled over.
214;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;She felt her gorge rising.
215;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He blew his top.
216;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He exploded.
217;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;I can't keep my anger bottled up anymore
218;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;His temper flared up.
219;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;His eyes smouldered with rage.
220;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He has a fiery temper.
221; people; self;Aspects Of The Self Are Distinct Individuals;Aspects Of The Self Are Distinct Individuals;He's at war with himself over the decision whether to move.
222; people; self;Aspects Of The Self Are Distinct Individuals;Aspects Of The Self Are Distinct Individuals;He talked himself into it.
223; people; self;Aspects Of The Self Are Distinct Individuals;Aspects Of The Self Are Distinct Individuals;He finally got a grip on himself.
224; people; self;Aspects Of The Self Are Distinct Individuals;Aspects Of The Self Are Distinct Individuals;His scientific self is at odds with his artistic side. 
225;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;The belief lives on.
226;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;That belief died out years ago.
227;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;That belief was born of the early philosophers.
228;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This is just the seed of a belief.
229;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This belief stems from my basic morality.
230;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This belief is an offshoot of my faith.
231;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This belief has been growing in me for years.
232;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This belief has taken root in my mind.
233;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This is a flourishing belief in this culture.'
234;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;I planted the belief in his mind.
235;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Basis Of A Belief Is Rooting Of A Plant;This is a deeply rooted belief.
236;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Basis Of A Belief Is Rooting Of A Plant;This belief is rooted in fact.
237;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Encouraging A Beliefs Is Cultivating A Plant;I cultivated a belief in my infallability amoung my subordinates.
238;fashions;beliefs;Beliefs Are Fashions;Beliefs Are Fashions;A belief in materialism is passe/old
