prompt,completion
"The magazine got the dirt about him.
Target Domain: morality
Source Domain:", cleanliness END
"She doesn't want to get her hands dirty.
Target Domain: morality
Source Domain:", cleanliness END
"We were made for each other.
Target Domain: love
Source Domain:", part-whole END
"She is my better half.
Target Domain: love
Source Domain:", part-whole END
"We are one.
Target Domain: love
Source Domain:", part-whole END
"The detective set out to crack the case.
Target Domain: problem solving
Source Domain:", container END
"The truth finally came out.
Target Domain: problem solving
Source Domain:", container END
"He finally found the key to the problem.
Target Domain: problem solving
Source Domain:", container END
"His job offer opened up new paths for me.
Target Domain: opportunities
Source Domain:", path END
"Opportunity is an open door.
Target Domain: opportunities
Source Domain:", path END
"I can go whichever I want with this project.
Target Domain: opportunities
Source Domain:", path END
"The theory died out.
Target Domain: theories
Source Domain:", beings END
"Many theories sprang up out of the fertile soil of his discoveries.
Target Domain: theories
Source Domain:", beings END
"A new theory was given birth.
Target Domain: theories
Source Domain:", beings END
"There's a deeper issue here.
Target Domain: importance
Source Domain:", depth END
"Let's ignore all the details on the surface.
Target Domain: importance
Source Domain:", depth END
"That's a profound problem.
Target Domain: importance
Source Domain:", depth END
"I thought it was a tame course, but it turned into a bear.
Target Domain: difficult subjects
Source Domain:", adversary END
"He successfully conquered the material.
Target Domain: difficult subjects
Source Domain:", adversary END
"She wasn't able to tackle all the material, so he stayed behind.
Target Domain: difficult subjects
Source Domain:", adversary END
"He had cold feet
Target Domain: fear
Source Domain:", cold END
"A cold stab of fear went through me
Target Domain: fear
Source Domain:", cold END
"Her blood ran cold
Target Domain: fear
Source Domain:", cold END
"I'm hot to trot.
Target Domain: lust
Source Domain:", heat END
"She was frigid.
Target Domain: lust
Source Domain:", heat END
"I'm burning with desire.
Target Domain: lust
Source Domain:", heat END
"I feel close to him.
Target Domain: intimacy
Source Domain:", closeness END
"We're drifting apart.
Target Domain: intimacy
Source Domain:", closeness END
"He keeps everyone at arms length.
Target Domain: intimacy
Source Domain:", closeness END
"The belief lives on.
Target Domain: beliefs
Source Domain:", beings END
"That belief was born of the early philosophers.
Target Domain: beliefs
Source Domain:", beings END
"That belief died out years ago.
Target Domain: beliefs
Source Domain:", beings END
"the contagion of democratic ideas
Target Domain: belief
Source Domain:", disease END
"They quarantined the Japanese.
Target Domain: belief
Source Domain:", disease END
"The children were infected with ideas about socialism.
Target Domain: belief
Source Domain:", disease END
"He is under my power.
Target Domain: control
Source Domain:", up END
"I have it all under control.
Target Domain: control
Source Domain:", up END
"I'm on top of the situation.
Target Domain: control
Source Domain:", up END
"She spends her time unwisely.
Target Domain: time
Source Domain:", money END
"Time is money
Target Domain: time
Source Domain:", money END
"The diversion should buy him some time.
Target Domain: time
Source Domain:", money END
"This will test his mettle.
Target Domain: personality
Source Domain:", substance END
"She is made of tougher stuff.
Target Domain: personality
Source Domain:", substance END
"He has a heart of gold.
Target Domain: personality
Source Domain:", substance END
"His thoughts are scattered.
Target Domain: coherence
Source Domain:", whole END
"I'm missing a piece of the puzzle.
Target Domain: coherence
Source Domain:", whole END
"The theory is all over the place.
Target Domain: coherence
Source Domain:", whole END
"She recovered from the wound to her psyche, but scars remained.
Target Domain: harm
Source Domain:", injury END
"My stock portfolio is very healthy.
Target Domain: harm
Source Domain:", injury END
"Americans can expect painful cutbacks with the recession.
Target Domain: harm
Source Domain:", injury END
"Let's keep moving forward on this experiment.
Target Domain: progress
Source Domain:", motion END
"We need to backtrack on this problem.
Target Domain: progress
Source Domain:", motion END
"Things are at a standstill.
Target Domain: progress
Source Domain:", motion END
"They assembled a theory.
Target Domain: theories
Source Domain:", part-whole END
"The theory was torn down brick by brick by its opponants.
Target Domain: theories
Source Domain:", part-whole END
"One piece of the theory doesn't fit.
Target Domain: theories
Source Domain:", part-whole END
"rays of light
Target Domain: light
Source Domain:", line END
"Where is that light coming from?
Target Domain: light
Source Domain:", line END
"Direct more light over here.
Target Domain: light
Source Domain:", line END
"Our society is making great strides.
Target Domain: society
Source Domain:", body END
"China finally stood up and was noticed.
Target Domain: society
Source Domain:", body END
"nurse our nation back to health
Target Domain: society
Source Domain:", body END
"She took inventory of her beliefs.
Target Domain: beliefs
Source Domain:", commodities END
"I almost bought his line.
Target Domain: beliefs
Source Domain:", commodities END
"He sold out his dearest beliefs.
Target Domain: beliefs
Source Domain:", commodities END
"He is as pure as the driven snow.
Target Domain: morality
Source Domain:", purity END
"She is of pure heart.
Target Domain: morality
Source Domain:", purity END
"He launched the discussion.
Target Domain: ideas
Source Domain:", projectiles END
"He hurled his criticisms at me, one after another.
Target Domain: ideas
Source Domain:", projectiles END
"He heaved the whole issue onto me.
Target Domain: ideas
Source Domain:", projectiles END
"The comedian knocked them over.
Target Domain: humor
Source Domain:", injury END
"She nearly died of laughter.
Target Domain: humor
Source Domain:", injury END
"That joke really slayed me.
Target Domain: humor
Source Domain:", injury END
"That's a big discovery.
Target Domain: importance
Source Domain:", size END
"He'll never amount to anything.
Target Domain: importance
Source Domain:", size END
"He concentrates on little details.
Target Domain: importance
Source Domain:", size END
"The magic is gone.
Target Domain: love
Source Domain:", magic END
"She charmed him.
Target Domain: love
Source Domain:", magic END
"She is bewitching.
Target Domain: love
Source Domain:", magic END
"Others are not so well informed.
Target Domain: people
Source Domain:", not metaphoric END
"And yet there are accidents.
Target Domain: accidents
Source Domain:", not metaphoric END
"The friend found one at a garage.
Target Domain: buildings
Source Domain:", not metaphoric END
"Mulching is a pleasant activity for October.
Target Domain: months 
Source Domain:", not metaphoric END
"Name badges are worn by staff.
Target Domain: badges
Source Domain:", not metaphoric END
"Had it been stolen?
Target Domain: stealing
Source Domain:", not metaphoric END
"He shrugged his narrow shoulders.
Target Domain: shoulders
Source Domain:", not metaphoric END
"Madame snorted again.
Target Domain: snorting
Source Domain:", not metaphoric END
"Even if you do not intend to be disloyal there is always the risk that you might be careless.
Target Domain: risk
Source Domain:", not metaphoric END
"I want you to promise me here and now that you will not see Gary Oliver again.
Target Domain: seeing
Source Domain:", not metaphoric END
"He once bought me a Louis Vuitton handbag.
Target Domain: buying
Source Domain:", not metaphoric END
"Ours is actually a new house.
Target Domain: houses
Source Domain:", not metaphoric END
"That's not my artwork on there, that's my little niece's artwork.
Target Domain: artwork
Source Domain:", not metaphoric END
"People are coming to do some Christian teaching for us.
Target Domain: teaching 
Source Domain:", not metaphoric END
"But he he said,  don't wash it I wanna wear it.
Target Domain: washing
Source Domain:", not metaphoric END
